system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,gamma
australia_as_legislated,amortisation at 6%,2.187220921523747,1.5379423911161718,42.21735054304323,balanced_all_equity,international_equity,2.5377978264484,2.0
australia_as_legislated,amortisation at 8%,2.1491432584570327,1.51846997726476,41.53347057465784,balanced_all_equity,international_equity,2.4838217591411618,2.0
australia_as_legislated,amortisation at 10%,2.0484988140756637,1.4640232372862882,39.92256146649411,balanced_all_equity,international_equity,2.3538272827196804,2.0
us_matched_saving,fixed_real_rule,2.0563471738476236,1.6959323065766225,21.251724840275486,balanced_all_equity,international_equity,2.271144306031127,2.0
us_matched_saving,constant_percent at 4%,2.396583501368714,1.7397256222639135,37.75640656772232,balanced_all_equity,international_equity,2.7406908255522198,2.0
us_matched_saving,amortisation at 0%,2.576077732626558,1.91115119613117,34.79193785616903,balanced_all_equity,international_equity,2.912860056013957,2.0
us_matched_saving,amortisation at 2%,2.708992695903702,1.9796186054461826,36.84417232950421,balanced_all_equity,international_equity,3.080392417800026,2.0
us_matched_saving,amortisation at 4%,2.7640946011174496,1.9988459236213936,38.28452550808032,balanced_all_equity,international_equity,3.155172305802918,2.0
us_matched_saving,amortisation at 6%,2.735480573830883,1.9692538036366376,38.90949804333237,balanced_all_equity,international_equity,3.127794535169064,2.0
us_matched_saving,amortisation at 8%,2.6316897494747735,1.8995344245436039,38.54393558079805,balanced_all_equity,international_equity,3.006375698846935,2.0
us_matched_saving,amortisation at 10%,2.472677871253806,1.8033882267196175,37.11289863257194,balanced_all_equity,international_equity,2.813957914120242,2.0
us_social_security,fixed_real_rule,1.4078267280131356,1.2155042145287012,15.822447276252793,balanced_all_equity,international_equity,1.520942781605636,2.0
us_social_security,constant_percent at 4%,1.595224270693742,1.2351966212543684,29.14739590801001,balanced_all_equity,international_equity,1.7773042683197262,2.0
us_social_security,amortisation at 0%,1.729217439410403,1.3417345582495397,28.87925027930882,balanced_all_equity,international_equity,1.9215488163412588,2.0
us_social_security,amortisation at 2%,1.7945978436061902,1.3764492756304023,30.378785137888897,balanced_all_equity,international_equity,2.0044390992741903,2.0
us_social_security,amortisation at 4%,1.8213952369804576,1.3880829968632817,31.216594475715965,balanced_all_equity,international_equity,2.040458638433927,2.0
us_social_security,amortisation at 6%,1.807360985242863,1.3769943325033362,31.25406129719739,balanced_all_equity,international_equity,2.025783943309526,2.0
us_social_security,amortisation at 8%,1.7571673441601494,1.3472275192250571,30.428403449693107,balanced_all_equity,international_equity,1.9653134071734246,2.0
us_social_security,amortisation at 10%,1.6806417350141603,1.3049209880667563,28.79260509895203,balanced_all_equity,international_equity,1.8708690308841016,2.0
age_pension_matched,fixed_real_rule,0.11154162692149378,0.16812965573988592,-33.657375059364725,target_date_fund,target_date_fund,0.16812965573988592,10.0
age_pension_matched,constant_percent at 4%,0.5648348517279911,0.5331926979981619,5.934468691830852,balanced_all_equity,international_equity,0.5796602195648335,10.0
age_pension_matched,amortisation at 0%,0.5640512375854092,0.5405011319244397,4.357087204816756,balanced_all_equity,international_equity,0.5758874499239337,10.0
age_pension_matched,amortisation at 2%,0.7058887211567699,0.6596217733992122,7.014163210400315,balanced_all_equity,international_equity,0.7241349675328312,10.0
age_pension_matched,amortisation at 4%,0.8059883450175019,0.7143281974401127,12.831657479834234,balanced_all_equity,international_equity,0.8375479787084772,10.0
age_pension_matched,amortisation at 6%,0.8289573643312239,0.7144481415301148,16.027646535109973,balanced_all_equity,international_equity,0.8733084888841025,10.0
age_pension_matched,amortisation at 8%,0.805087076317585,0.6950752328517459,15.827328937399177,balanced_all_equity,international_equity,0.8522694838500313,10.0
age_pension_matched,amortisation at 10%,0.7658192911764519,0.6694350304687503,14.397851370313198,balanced_all_equity,international_equity,0.8092931983836199,10.0
age_pension_untested,fixed_real_rule,0.6793006226022033,0.6306167211912942,7.72004607155683,balanced_all_equity,international_equity,0.7015177582957478,10.0
age_pension_untested,constant_percent at 4%,0.7925166914239653,0.6924577106101483,14.449832716232102,balanced_all_equity,international_equity,0.8348570425223591,10.0
