dropped,system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,n_markets
FIN,us_social_security,amortisation at 0%,1.185346525049157,1.0239417190375348,15.763085243107033,balanced_all_equity,international_equity,1.2648483152575647,15
FIN,us_social_security,amortisation at 2%,1.2317708123539532,1.0480112501958678,17.534121138846714,balanced_all_equity,international_equity,1.321842197184031,15
FIN,us_social_security,amortisation at 4%,1.2499867827435402,1.0512856071666763,18.900779599978,balanced_all_equity,international_equity,1.347353290234519,15
FIN,us_social_security,amortisation at 6%,1.2364701042649324,1.0341976613430102,19.558392992230434,balanced_all_equity,international_equity,1.335756156798025,15
FIN,us_social_security,amortisation at 8%,1.1950100289105225,1.0014737627944899,19.325145930532763,balanced_all_equity,international_equity,1.2897514328880806,15
FIN,us_social_security,amortisation at 10%,1.1350489398164598,0.9600271422047667,18.230921805996413,balanced_all_equity,international_equity,1.2197727378728922,15
FRA,australia_as_legislated,fixed_real_rule,0.6703034947552032,0.6789046298019186,-1.266913594214969,target_date_fund,target_date_fund,0.6789046298019186,15
FRA,australia_as_legislated,constant_percent at 4%,0.9044795508016075,0.7489207937541554,20.771055944070447,balanced_all_equity,international_equity,0.9935660950850072,15
FRA,australia_as_legislated,amortisation at 0%,0.9865467898828494,0.8533644456638226,15.606736945248013,balanced_all_equity,international_equity,1.0685945039840987,15
FRA,australia_as_legislated,amortisation at 2%,1.18330756946538,0.9994698968568752,18.39351772240827,balanced_all_equity,international_equity,1.2811356060264318,15
FRA,australia_as_legislated,amortisation at 4%,1.3295613729818139,1.0902308861903502,21.952275414592993,balanced_all_equity,international_equity,1.4387603806236997,15
FRA,australia_as_legislated,amortisation at 6%,1.3984009565863256,1.1153355446281927,25.379394866546214,balanced_all_equity,international_equity,1.5159032737798486,15
FRA,australia_as_legislated,amortisation at 8%,1.3854104283527195,1.0863656696349722,27.52708108110862,balanced_all_equity,international_equity,1.507602510859768,15
FRA,australia_as_legislated,amortisation at 10%,1.309696176951023,1.0248815041033745,27.790010036020774,balanced_all_equity,international_equity,1.428975506973357,15
FRA,us_social_security,fixed_real_rule,1.0806007424525836,0.9672220143712816,11.722099621047288,balanced_all_equity,international_equity,1.1409984330944634,15
FRA,us_social_security,constant_percent at 4%,1.1749246185128523,0.9847581081734932,19.31098700899001,balanced_all_equity,international_equity,1.2649615597938728,15
FRA,us_social_security,amortisation at 0%,1.2345703494695595,1.0552500020838884,16.9931624763376,balanced_all_equity,international_equity,1.3155984271359427,15
FRA,us_social_security,amortisation at 2%,1.2869798249073663,1.081813857418758,18.964997174110977,balanced_all_equity,international_equity,1.37820139267564,15
FRA,us_social_security,amortisation at 4%,1.3090947061990716,1.0853726845602851,20.612461030325502,balanced_all_equity,international_equity,1.407985867398392,15
