scale,equity,arm,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.11,0.1,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.49404794042260086,0.619578711014879,0.259,0.6686204808456402,0.3869423988713803,1.3764607291220528
0.11,0.15,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.4817164788400708,0.6143821076073549,0.22604,0.6641449278384551,0.3733499706281732,1.3764607291220528
0.11,0.2,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.46808178856698135,0.6081056299421226,0.19856,0.6591423425016173,0.35828729151146177,1.3764607291220528
0.11,0.25,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.45320762040776336,0.600570370831321,0.17544,0.6537076568200378,0.344364068570341,1.3764607291220528
0.11,0.3,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.4359300152507016,0.5908377194626367,0.15408,0.6479358037081386,0.3311542612637572,1.3764607291220528
0.11,0.35,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.41927387670114313,0.5803744115953874,0.1368,0.641974327221667,0.3180430220705734,1.3764607291220528
0.11,0.4,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.401147240886556,0.5676871288992572,0.12264,0.635971792350298,0.3049001695484235,1.3764607291220528
0.11,0.45,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.3846400088940924,0.5548786153884762,0.11092,0.6300250940945306,0.2918979573782079,1.3764607291220528
0.11,0.5,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.36739166218906927,0.5401532803363189,0.09972,0.6242693196073508,0.27934315175697955,1.3764607291220528
0.11,0.55,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.3522971993209247,0.5261057333697822,0.09072,0.6187366173871145,0.26825700446339823,1.3764607291220528
0.11,0.6,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.3387714200109608,0.5125830685480893,0.08352,0.6134791120832755,0.2569723276058396,1.3764607291220528
0.11,0.65,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.32532362550534616,0.49826148296397355,0.07544,0.6084806874712559,0.2460437238968071,1.3764607291220528
0.11,0.7,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.3111476828596565,0.4822294971133837,0.06788,0.6037586527776441,0.23653962643225288,1.3764607291220528
0.11,0.75,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.29690567291527464,0.46518205228077714,0.06296,0.5992519379501217,0.22838194539974013,1.3764607291220528
0.11,0.8,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.2804754288754774,0.44439606786256947,0.0594,0.5949595586316411,0.22025784704543774,1.3764607291220528
0.11,0.85,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.26840592606760194,0.42840729520951903,0.05696,0.5909926787496439,0.21365202740512157,1.3764607291220528
0.11,0.9,pension from the day work stops,5.3133212263777825,3.014330021789434,6.767475613460695,0.23008,0.39468,0.37524,0.25337716332040944,0.4077107818078537,0.0562,0.5873629630364161,0.20694205968048893,1.3764607291220528
