scale,leverage,spread,cec,wipeout
0.13,1.6,0.05,0.5859267553042382,0.0
0.13,1.75,0.05,0.5796286036057021,0.0002023529411764706
0.13,2.0,0.05,0.5669317610541473,0.0006035294117647059
0.15,1.0,0.0,0.6170870419761889,0.0
0.15,1.1,0.0,0.6219845124545402,0.0
0.15,1.2,0.0,0.626246546454699,0.0
0.15,1.3,0.0,0.6298334974693262,0.0
0.15,1.4,0.0,0.6327055940150718,0.0
0.15,1.5,0.0,0.6348119996351692,0.0
0.15,1.6,0.0,0.6360700289442097,0.0
0.15,1.75,0.0,0.6358557912232041,0.0
0.15,2.0,0.0,0.630783304411481,0.0002023529411764706
0.15,1.0,0.01,0.6170870419761889,0.0
0.15,1.1,0.01,0.6206986785278711,0.0
0.15,1.2,0.01,0.623683363461051,0.0
0.15,1.3,0.01,0.62601179323752,0.0
0.15,1.4,0.01,0.6276516266141998,0.0
0.15,1.5,0.01,0.628557505231135,0.0
0.15,1.6,0.01,0.6286508500980578,0.0
0.15,1.75,0.01,0.6267308610419983,0.0
0.15,2.0,0.01,0.619335518925098,0.0002023529411764706
0.15,1.0,0.02,0.6170870419761889,0.0
0.15,1.1,0.02,0.619416594657671,0.0
0.15,1.2,0.02,0.6211338524123003,0.0
0.15,1.3,0.02,0.622218679282552,0.0
0.15,1.4,0.02,0.6226460451532446,0.0
0.15,1.5,0.02,0.6223769700343892,0.0
0.15,1.6,0.02,0.6213389636023362,0.0
0.15,1.75,0.02,0.6177769966738273,0.0002023529411764706
0.15,2.0,0.02,0.6082233832786262,0.0002023529411764706
0.15,1.0,0.03,0.6170870419761889,0.0
0.15,1.1,0.03,0.6181384005320334,0.0
0.15,1.2,0.03,0.6185990901929527,0.0
0.15,1.3,0.03,0.6184576257793667,0.0
0.15,1.4,0.03,0.6176966438370961,0.0
0.15,1.5,0.03,0.616284714488782,0.0
0.15,1.6,0.03,0.614157472568306,0.0
0.15,1.75,0.03,0.6092376630540799,0.0002023529411764706
0.15,2.0,0.03,0.5976000315792335,0.0004076470588235294
0.15,1.0,0.05,0.6170870419761889,0.0
0.15,1.1,0.05,0.6155942322639292,0.0
0.15,1.2,0.05,0.6135780025995102,0.0
0.15,1.3,0.05,0.6110450233869466,0.0
0.15,1.4,0.05,0.6079958598486263,0.0
0.15,1.5,0.05,0.6044182355579122,0.0
0.15,1.6,0.05,0.6002695965315307,0.0
0.15,1.75,0.05,0.5928887775615114,0.0002023529411764706
0.15,2.0,0.05,0.5780467656721279,0.0006035294117647059
0.17,1.0,0.0,0.6334348456699518,0.0
0.17,1.1,0.0,0.6385777699983503,0.0
0.17,1.2,0.0,0.6430029071404256,0.0
0.17,1.3,0.0,0.6466718308785089,0.0
